c1,l1,c2,l2,c3,l3,cost
22.376524084952806,27.560327324793434,10.737007721571937,45.1264182871381,12.804750723833013,44.80629607295267,135.49339848431265
17.6568782514554,30.56867680096309,13.16844210996041,45.9865973576438,12.883442006204064,49.240770968543,53.91652219064681
22.30784396113735,30.46839000761966,14.513273689501803,46.767512823756704,14.035470703274509,49.74852352836438,84.89412217131195
20.85938773015406,25.257949346626283,13.943311227677928,43.42658385500664,13.452868107687403,48.7093992522128,71.87735709808445
20.51740002282868,28.64795857004029,13.500000445952038,43.369698848227515,13.599887838439553,47.86406719300233,39.34983175262939
22.736374845610115,29.445428851515196,9.579126072161815,46.92075201768011,14.041482349324689,48.63450893100331,293.4814369601932
22.750473490114157,27.64044078661796,12.242073413317932,45.249284993830656,13.67830447548829,45.66461934880203,27.83083759441361
21.56729957358419,30.949847948854753,11.174788876334334,42.68933257684923,10.643585635303962,43.94703026508023,191.84270755585078
21.048807268261697,30.37783325972282,11.014660194026614,45.82320259263259,11.192013267353985,47.62855191897259,124.53993890577479
21.84006386252389,28.64816002399056,14.422605172320008,44.96418304921172,9.903272290369845,46.502928906565344,175.77349327216854
22.65648652096798,27.1996244874874,10.384904881989616,46.32915581463143,10.229677523887696,48.61852034635462,123.18267737151636
19.054655569391056,28.481819630862244,12.61080171139073,45.699924626751574,12.144811302912986,45.653053060571274,14.117274965919172
21.739488189489514,27.35837465396663,14.94183358089608,45.83202324726157,13.651025422233179,45.39975557738015,68.32163997475286
20.904518124775038,28.041947957238154,10.075890786132842,46.95284191847277,14.614230446523118,46.6078169030954,230.04121924999248
19.368279958861027,25.889203434768138,11.367382876575405,44.771165040554486,13.892328142942695,44.14895533480798,82.85263556944324
18.558973101061273,29.48587990464231,14.076700428784303,48.47189124581959,12.39303091093716,49.57003496256782,112.35281916284592
20.75034598320899,30.98668409869579,13.39713043508562,47.46031417311559,14.261516001999567,46.6092993221641,56.097155709199114
17.204199953265338,27.82320682132878,10.315205922529096,43.3774434899606,13.396167737420008,44.22665658144572,202.677852398249
20.08509642178944,30.167934660418137,12.715388625905788,44.711440716541055,11.876317709061286,49.21754367823185,18.97579069811214
20.46289661546574,28.869931195989828,9.504055337670163,46.269441116077665,12.43474662343618,47.281847846149205,254.22798888994265
18.07145216444898,26.1675293711501,10.095030875160923,43.24302930834042,9.70099301821118,48.506761571337044,155.08998616163052
17.082979212100817,29.651445952502637,12.177780414010416,45.86219664521015,10.706953075215049,44.08233533270696,100.7449684643004
21.815014711813493,30.3425103585817,11.03841734070267,44.90678298035468,12.715142925176139,49.460881036894044,149.12474805843203
22.04288401004646,25.782605753244958,11.271191533932049,46.4381734343537,9.48460968627806,48.042995368181764,79.96314207361955
17.76786575741004,27.126262431617892,12.041599405427737,43.72270681636272,9.631446831523121,46.78285179563668,67.65828091639946
22.155416885579783,26.452600216067907,11.001095206799095,47.00259687684985,10.089264981380769,49.45394313984714,60.5165005758505
21.404023647611133,27.290350415924028,13.246495017852316,45.89758097518363,9.560713889127378,45.96135131473349,142.25922007290555
22.50356510542901,28.109120627222204,13.411678539638658,45.08601238065816,11.095276785333695,49.64954384310441,27.59617307677426
20.115994474094457,27.59156849551613,12.253432451550093,47.11307892512417,10.373450311205113,45.66642403718306,70.01252241428602
20.545830981484308,29.45678320932261,12.215046186723987,42.941755536625074,11.263674108907255,44.780787613505744,69.9775152920563
19.86226790986831,28.419259593297724,11.014585881403379,47.44497785777984,10.448925939001075,45.18464585154834,84.99020163187829
